Time,3 Theta,3 Alpha,3 Low_beta,3 High_beta,3 Gamma,4 Theta,4 Alpha,4 Low_beta,4 High_beta,4 Gamma,5 Theta,5 Alpha,5 Low_beta,5 High_beta,5 Gamma,6 Theta,6 Alpha,6 Low_beta,6 High_beta,6 Gamma,7 Theta,7 Alpha,7 Low_beta,7 High_beta,7 Gamma,8 Theta,8 Alpha,8 Low_beta,8 High_beta,8 Gamma,9 Theta,9 Alpha,9 Low_beta,9 High_beta,9 Gamma,10 Theta,10 Alpha,10 Low_beta,10 High_beta,10 Gamma,11 Theta,11 Alpha,11 Low_beta,11 High_beta,11 Gamma,12 Theta,12 Alpha,12 Low_beta,12 High_beta,12 Gamma,13 Theta,13 Alpha,13 Low_beta,13 High_beta,13 Gamma,14 Theta,14 Alpha,14 Low_beta,14 High_beta,14 Gamma,15 Theta,15 Alpha,15 Low_beta,15 High_beta,15 Gamma,16 Theta,16 Alpha,16 Low_beta,16 High_beta,16 Gamma,Label
2.551871061,95.71997315,34.68207246,16.9402744,9.000558661,3.833523626,74.23299074,25.91492452,13.38241505,6.701292381,2.793924366,100.0977904,34.99888869,17.9095292,9.035944022,3.766796367,90.78306929,31.78723976,16.30126213,8.21629678,3.401464088,73.19421576,25.76079176,13.24741766,6.824059261,3.131404972,92.27731348,31.49945351,16.79027442,8.523696997,3.588108637,96.87310799,34.37998642,18.58677994,9.106670709,3.706897456,87.36137881,63.20695397,16.47791574,8.079376492,3.485461993,92.0747347,33.3336183,16.53278017,8.592288199,3.609615185,114.3031134,38.8348695,20.30839909,10.82618479,4.559595435,88.77353172,31.12521081,15.84534163,8.038453164,3.353338105,113.5106476,39.75768679,20.29715426,10.24364379,4.27502263,89.10263602,29.52389472,16.03572934,8.366103011,3.683215572,95.2255231,33.28407248,17.00547546,8.598913132,3.567282108,null
2.652524948,95.71997315,34.68207246,16.9402744,9.000558661,3.833523626,74.23299074,25.91492452,13.38241505,6.701292381,2.793924366,100.0977904,34.99888869,17.9095292,9.035944022,3.766796367,90.78306929,31.78723976,16.30126213,8.21629678,3.401464088,73.19421576,25.76079176,13.24741766,6.824059261,3.131404972,92.27731348,31.49945351,16.79027442,8.523696997,3.588108637,96.87310799,34.37998642,18.58677994,9.106670709,3.706897456,87.36137881,63.20695397,16.47791574,8.079376492,3.485461993,92.0747347,33.3336183,16.53278017,8.592288199,3.609615185,114.3031134,38.8348695,20.30839909,10.82618479,4.559595435,88.77353172,31.12521081,15.84534163,8.038453164,3.353338105,113.5106476,39.75768679,20.29715426,10.24364379,4.27502263,89.10263602,29.52389472,16.03572934,8.366103011,3.683215572,95.2255231,33.28407248,17.00547546,8.598913132,3.567282108,null
3.061075926,1.263817505,0.407947936,0.211460107,0.161129992,0.197469429,0.007078348,0.014185265,0.008192892,0.016044202,0.022722254,0.025206004,0.009650925,0.013140715,0.016631244,0.017280376,0.025291392,0.011252989,0.009972758,0.013837561,0.011901767,0.292279649,0.222177565,0.153354101,0.185346365,0.2485121,0.922673729,0.650576477,0.308240418,0.137663024,0.162108342,0.529597764,1.817453051,0.600264131,0.242962264,0.08991253,1.793221804,21.77784908,1.974044942,0.51519835,0.194987558,0.439611604,1.705960593,0.22972948,0.255285679,0.129675807,0.936930051,0.545641652,0.312084568,0.578611078,0.423356683,0.015204215,0.021320371,0.010525543,0.016433783,0.025545595,0.017155537,0.01446443,0.016775976,0.021370178,0.030303542,1.199650539,1.214682222,0.259076008,0.557514997,0.792939013,0.019727011,0.008872071,0.018868754,0.011969408,0.029604109,null
3.56794095,0.663889998,0.728993002,0.243933996,0.202371211,0.145878281,0.005149033,0.014626976,0.012700412,0.016146503,0.020726977,0.029644918,0.008881492,0.019647073,0.015949469,0.025518927,0.022772715,0.013769956,0.01463851,0.012661503,0.014197777,0.82092779,0.446196733,0.274739928,0.249179022,0.152190677,1.00075931,1.132162016,0.284255692,0.138622832,0.165566325,0.846078107,2.123999471,0.645275915,0.103112781,0.082152168,1.095330443,9.037062978,1.664417529,0.467057874,0.206452762,0.427300254,1.145550745,0.205687659,0.156017013,0.086291272,0.706673228,0.94313564,0.630385202,0.285994399,0.474865489,0.028104586,0.020082652,0.006854912,0.018901613,0.022738936,0.021381232,0.008359293,0.02875322,0.022839391,0.026571109,1.134039945,0.816029229,0.264640638,0.305797308,0.561518695,0.023809815,0.011268516,0.027408557,0.020155359,0.027742531,null
4.078954935,2.97492868,1.298624934,0.526534074,0.417018524,0.201988781,0.012642242,0.02089644,0.011851106,0.010558784,0.020434384,0.044669398,0.016742339,0.018053335,0.016123494,0.022227902,0.026727145,0.023250022,0.008995886,0.019631358,0.014633636,1.347952189,0.360568667,0.315270626,0.258016518,0.298789017,1.619231652,1.408918768,0.644352749,0.270264622,0.135721376,0.95754424,2.263417504,1.138599572,0.198716408,0.089365852,1.135628423,9.578046499,1.758189935,0.492921028,0.211980348,1.023589822,0.904873178,0.302978384,0.176826366,0.096540355,2.165230961,1.53979589,0.629927244,0.408951247,0.371860299,0.041616701,0.034020003,0.01419594,0.026169614,0.020883539,0.030538957,0.024164784,0.028315272,0.026036424,0.024528415,1.787743545,1.076760129,0.512072357,0.398587291,0.310341543,0.03218008,0.012859228,0.029536925,0.021953888,0.020844059,null
4.585355997,3.942728743,1.400298373,0.704055127,0.696912886,0.325576331,0.033420257,0.021017813,0.017078,0.021367817,0.031104106,0.041938302,0.023096872,0.014133575,0.02157573,0.017555778,0.020431377,0.02408837,0.010848531,0.026191939,0.014493062,1.299987158,0.532663031,0.439415833,0.276698975,0.441576523,1.879861183,2.284184349,1.125527315,0.420536478,0.128648844,0.628376279,6.142275921,2.291493611,0.376792422,0.112506233,0.663059174,29.0136083,6.198043315,0.843036712,0.235472082,0.942214559,1.784879988,0.828037082,0.322720238,0.137374456,2.612514749,1.960101422,1.018426291,0.665837845,0.383037582,0.02463907,0.042091294,0.041133192,0.023791116,0.026320952,0.024504177,0.029612207,0.028658144,0.014940233,0.027395288,2.215576454,1.461032277,0.851382514,0.864739594,0.400548007,0.038771658,0.019580507,0.034350882,0.016317753,0.021108359,null
4.787639141,3.942728743,1.400298373,0.704055127,0.696912886,0.325576331,0.033420257,0.021017813,0.017078,0.021367817,0.031104106,0.041938302,0.023096872,0.014133575,0.02157573,0.017555778,0.020431377,0.02408837,0.010848531,0.026191939,0.014493062,1.299987158,0.532663031,0.439415833,0.276698975,0.441576523,1.879861183,2.284184349,1.125527315,0.420536478,0.128648844,0.628376279,6.142275921,2.291493611,0.376792422,0.112506233,0.663059174,29.0136083,6.198043315,0.843036712,0.235472082,0.942214559,1.784879988,0.828037082,0.322720238,0.137374456,2.612514749,1.960101422,1.018426291,0.665837845,0.383037582,0.02463907,0.042091294,0.041133192,0.023791116,0.026320952,0.024504177,0.029612207,0.028658144,0.014940233,0.027395288,2.215576454,1.461032277,0.851382514,0.864739594,0.400548007,0.038771658,0.019580507,0.034350882,0.016317753,0.021108359,null
4.989664078,3.942728743,1.400298373,0.704055127,0.696912886,0.325576331,0.033420257,0.021017813,0.017078,0.021367817,0.031104106,0.041938302,0.023096872,0.014133575,0.02157573,0.017555778,0.020431377,0.02408837,0.010848531,0.026191939,0.014493062,1.299987158,0.532663031,0.439415833,0.276698975,0.441576523,1.879861183,2.284184349,1.125527315,0.420536478,0.128648844,0.628376279,6.142275921,2.291493611,0.376792422,0.112506233,0.663059174,29.0136083,6.198043315,0.843036712,0.235472082,0.942214559,1.784879988,0.828037082,0.322720238,0.137374456,2.612514749,1.960101422,1.018426291,0.665837845,0.383037582,0.02463907,0.042091294,0.041133192,0.023791116,0.026320952,0.024504177,0.029612207,0.028658144,0.014940233,0.027395288,2.215576454,1.461032277,0.851382514,0.864739594,0.400548007,0.038771658,0.019580507,0.034350882,0.016317753,0.021108359,null
5.090999126,1.191815715,0.705922406,0.448462142,0.452216281,0.352581156,0.026622013,0.019579547,0.014116573,0.019550384,0.021844016,0.024819406,0.020659886,0.017197329,0.019986102,0.018485777,0.025022768,0.031284251,0.013272738,0.036064106,0.015337486,0.442469556,0.365956094,0.370781343,0.373716362,0.35820812,0.649448982,1.110628876,0.412144681,0.409899731,0.168119808,0.358848656,3.730139313,0.474596937,0.159232471,0.079051472,0.555955973,27.57703982,6.691555967,0.641459775,0.203320681,0.405723137,1.559651098,0.918896947,0.361470892,0.181851764,0.683833794,1.040950127,1.131602261,0.760032507,0.387955109,0.024691254,0.030225265,0.057319342,0.032561291,0.041353537,0.04097503,0.016727467,0.026232968,0.008880561,0.02996006,1.061252184,0.746780717,0.980653118,0.705883808,0.512656588,0.039884157,0.020001992,0.029120284,0.017865006,0.020853791,null
5.193417072,1.191815715,0.705922406,0.448462142,0.452216281,0.352581156,0.026622013,0.019579547,0.014116573,0.019550384,0.021844016,0.024819406,0.020659886,0.017197329,0.019986102,0.018485777,0.025022768,0.031284251,0.013272738,0.036064106,0.015337486,0.442469556,0.365956094,0.370781343,0.373716362,0.35820812,0.649448982,1.110628876,0.412144681,0.409899731,0.168119808,0.358848656,3.730139313,0.474596937,0.159232471,0.079051472,0.555955973,27.57703982,6.691555967,0.641459775,0.203320681,0.405723137,1.559651098,0.918896947,0.361470892,0.181851764,0.683833794,1.040950127,1.131602261,0.760032507,0.387955109,0.024691254,0.030225265,0.057319342,0.032561291,0.041353537,0.04097503,0.016727467,0.026232968,0.008880561,0.02996006,1.061252184,0.746780717,0.980653118,0.705883808,0.512656588,0.039884157,0.020001992,0.029120284,0.017865006,0.020853791,null
